phase,name,type,version,layer,role,connects_to,interfaces,source,repo_url,crate_url,direct_dependencies,dependency_count_est,language_or_stack,deployment_form,maturity,license,last_verified_year,notes,status,gap_or_conflict,conflicts_with,missing_depends_on,priority,rationale,selected_primary,option_2,option_3,decision_notes,dependencies,reverse_dependencies,ecosystem,tags,security_notes
Phase 4: Specialized Domains (Robotics/Security/Verticals),opencv-wasm,crate,4.8.1,L4: Vision/WASM,OpenCV WASM bindings for browser deployment,browser vision nodes,Rust API,https://crates.io/crates/opencv-wasm,,https://crates.io/crates/opencv-wasm,,,Rust,crate,,,2025.0,,candidate,needs-eval,,,P3,,option_3,,,WASM build complexity; optional.,opencv-core; wasm-bindgen,None listed,rev.io / QuDAG direction,"vision,opencv,wasm",
Phase 4: Specialized Domains (Robotics/Security/Verticals),nt-utils,crate,1.0.0,L4: Trading/Utils,Utilities/helpers for Neural Trader,nt stack,Rust API,https://crates.io/crates/nt-utils,,https://crates.io/crates/nt-utils,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Vertical.,nt-core; serde; uuid,None listed,rev.io / QuDAG direction,"utils,trading",
Phase 4: Specialized Domains (Robotics/Security/Verticals),nt-execution,crate,1.0.0,L4: Trading/Execution,Order execution + broker integrations,external APIs,Rust API,https://crates.io/crates/nt-execution,,https://crates.io/crates/nt-execution,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Not foundation; external dependencies.,nt-core; reqwest; async-trait; serde,None listed,rev.io / QuDAG direction,"trading,execution",
Phase 3: Swarm/Identity/Policy + Distributed Runtime,aimds-response,crate,0.1.0,L3: Security/Response,Adaptive response layer for AIMDS threat mitigation,aimds-core; aimds-detection; policy enforcement; telemetry,Rust API,https://crates.io/crates/aimds-response,,https://crates.io/crates/aimds-response,,,Rust,crate,,,2025.0,,candidate,ok,,,P2,,option_2,,,Use after detection is in place; response actions must be gated by policy + audit logging.,"aimds-core, serde, tokio",None listed,rev.io / QuDAG direction,"security,response,ai-safety",
Phase 2: Core runtime + MCP/tooling,bit-parallel-search,crate,0.1.0,L2: Search/Index,Bit-parallel string search utility for fast scanning/filtering,fact-tools; local scanning; content indexing,Rust API,https://crates.io/crates/bit-parallel-search,,https://crates.io/crates/bit-parallel-search,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Candidate micro-primitive for fast local scanning; verify benchmarks in your target workloads.,cfg-if; simd-abstraction (optional),None listed,rev.io / QuDAG direction,"search,simd,utils",
Phase 4: Specialized Domains (Robotics/Security/Verticals),nt-backtesting,crate,1.0.0,L4: Trading/Backtest,Backtesting engine for Neural Trader,simulation,Rust API,https://crates.io/crates/nt-backtesting,,https://crates.io/crates/nt-backtesting,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Keep out of core OS path.,nt-core; ndarray; chrono; serde,None listed,rev.io / QuDAG direction,"trading,backtesting",
Phase 4: Specialized Domains (Robotics/Security/Verticals),nt-agentdb-client,crate,1.0.0,L4: Trading/Memory,Client for Neural Trader AgentDB (vector db + memory),agent memory plane; vector store,Rust API,https://crates.io/crates/nt-agentdb-client,,https://crates.io/crates/nt-agentdb-client,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Vertical; agent memory concept may be reusable.,nt-core; reqwest; serde; tokio,None listed,rev.io / QuDAG direction,"trading,memory,client",
Phase 2: Core runtime + MCP/tooling,claude-parser,crate,1.0.5,L2: Tooling/Provider Adapters,Stream-JSON parser for Claude Code CLI output for swarm orchestration,provider adapters; swarm cli; agent runtime,Rust API,https://crates.io/crates/claude-parser,,https://crates.io/crates/claude-parser,,,Rust,crate,,,2025.0,,candidate,ok,,,P2,,option_2,,,Useful only if Claude Code CLI is a provider in the loop; otherwise keep optional.,serde; serde_json; regex,None listed,rev.io / QuDAG direction,"provider,cli,parsing,claude",
Phase 4: Specialized Domains (Robotics/Security/Verticals),nt-neural,crate,1.0.0,L4: Trading/Neural,Neural network integration (Candle-based),candle stack,Rust API,https://crates.io/crates/nt-neural,,https://crates.io/crates/nt-neural,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Vertical; Candle is relevant broadly.,nt-core; candle-core; serde,None listed,rev.io / QuDAG direction,"ml,candle,trading",
Phase 3: Swarm/Identity/Policy + Distributed Runtime,qudag-wasm,crate,0.1.0,L3: Web/WASM,WASM bindings for QuDAG platform,browser/edge nodes,Rust API,https://crates.io/crates/qudag-wasm,https://github.com/ruvnet/QuDAG,https://crates.io/crates/qudag-wasm,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Only if browser nodes are first-class early.,qudag-protocol; wasm-bindgen; js-sys,,rev.io / QuDAG direction,"qudag,wasm",
Phase 5: Research/Advanced ML + Formal Methods,nano-consciousness,crate,0.1.0,L5: Research/Framework,AI framework inspired by consciousness theories with nanosecond scheduling,exo-core,Rust API,https://crates.io/crates/nano-consciousness,,https://crates.io/crates/nano-consciousness,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Research module.,nanosecond-scheduler; exo-core; tokio,None listed,rev.io / QuDAG direction,"research,framework",
Phase 4: Specialized Domains (Robotics/Security/Verticals),nt-streaming,crate,1.0.0,L4: Trading/Streaming,Real-time streaming via websockets,realtime IO,Rust API,https://crates.io/crates/nt-streaming,,https://crates.io/crates/nt-streaming,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Vertical.,nt-core; tokio-tungstenite; serde,None listed,rev.io / QuDAG direction,"streaming,websocket",
Phase 3: Swarm/Identity/Policy + Distributed Runtime,code-mesh-tui,crate,0.1.0,L3: Observability/TUI,Terminal UI for real-time swarm visualization,telemetry; tracing,Rust API,https://crates.io/crates/code-mesh-tui,,https://crates.io/crates/code-mesh-tui,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Useful for early ops; later replace with GUI/web if needed.,code-mesh-core; ratatui; crossterm,None listed,rev.io / QuDAG direction,"tui,observability",
Phase 5: Research/Advanced ML + Formal Methods,neuro-divergent-registry,crate,0.1.0,L5: Forecasting/Registry,Registry/factory for dynamic model creation,plugin registry concepts,Rust API,https://crates.io/crates/neuro-divergent-registry,,https://crates.io/crates/neuro-divergent-registry,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Registry pattern may inform your OS plugin registry.,neuro-divergent-core; serde; inventory,neuro-divergent,rev.io / QuDAG direction,"registry,forecasting",
Phase 4: Specialized Domains (Robotics/Security/Verticals),neural-trader-predictor,crate,0.1.0,L4: Trading/Prediction,Conformal prediction SDK/CLI for trading,nt-* stack,Rust API,https://crates.io/crates/neural-trader-predictor,,https://crates.io/crates/neural-trader-predictor,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Vertical-specific; not foundation.,conformal-prediction; nt-core; serde,None listed,rev.io / QuDAG direction,"trading,prediction,conformal",
Phase 5: Research/Advanced ML + Formal Methods,neuro-divergent-core,crate,0.1.0,L5: Forecasting/Core,Core traits/data structures for neuro-divergent forecasting,ml stack,Rust API,https://crates.io/crates/neuro-divergent-core,,https://crates.io/crates/neuro-divergent-core,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Vertical ML.,serde; ndarray; thiserror,neuro-divergent; neuro-divergent-models; neuro-divergent-training,rev.io / QuDAG direction,"forecasting,core",
Phase 4: Specialized Domains (Robotics/Security/Verticals),opencv-core,crate,4.8.1,L4: Vision/Core,OpenCV core module bindings,vision pipeline; robotics,Rust API,https://crates.io/crates/opencv-core,,https://crates.io/crates/opencv-core,,,Rust,crate,,,2025.0,,candidate,portability-risk,,,P3,,option_3,,,Heavy native deps; portability risk.,libc; num-traits,opencv-sdk; opencv-wasm,rev.io / QuDAG direction,"vision,opencv",
Phase 5: Research/Advanced ML + Formal Methods,neuro-divergent-models,crate,0.1.0,L5: Forecasting/Models,Forecasting models implemented using ruv-FANN,ruv-fann,Rust API,https://crates.io/crates/neuro-divergent-models,,https://crates.io/crates/neuro-divergent-models,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Vertical ML.,neuro-divergent-core; ruv-fann; serde,neuro-divergent,rev.io / QuDAG direction,"forecasting,models",
Phase 5: Research/Advanced ML + Formal Methods,neuro-divergent-training,crate,0.1.0,L5: Forecasting/Training,Training infrastructure for neuro-divergent forecasting,ruv-fann,Rust API,https://crates.io/crates/neuro-divergent-training,,https://crates.io/crates/neuro-divergent-training,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Vertical ML.,neuro-divergent-core; ruv-fann; rayon,neuro-divergent,rev.io / QuDAG direction,"forecasting,training",
Phase 4: Specialized Domains (Robotics/Security/Verticals),qudag-exchange-core,crate,0.4.0,L4: Economy/Exchange,Core library for QuDAG Exchange rUv token logic,governance; payments,Rust API,https://crates.io/crates/qudag-exchange-core,,https://crates.io/crates/qudag-exchange-core,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Not foundation; only if economic layer is required.,qudag-crypto; serde; thiserror,qudag-exchange; qudag-exchange-standalone-cli,rev.io / QuDAG direction,"exchange,economy,token",
Phase 5: Research/Advanced ML + Formal Methods,neuro-divergent,crate,0.1.0,L5: Forecasting/App,Neural forecasting library built on ruv-FANN,ruv-fann,Rust API,https://crates.io/crates/neuro-divergent,,https://crates.io/crates/neuro-divergent,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Vertical ML.,neuro-divergent-core; neuro-divergent-models; ruv-fann,None listed,rev.io / QuDAG direction,"forecasting,app",
Phase 5: Research/Advanced ML + Formal Methods,conformal-prediction,crate,2.0.0,L5: ML/Uncertainty,Conformal prediction library for uncertainty quantification,model runtime; evaluation pipeline,Rust API,https://crates.io/crates/conformal-prediction,,https://crates.io/crates/conformal-prediction,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Advanced ML feature; keep after core inference + telemetry exist.,ndarray; serde; thiserror,None listed publicly,rev.io / QuDAG direction,"ml,uncertainty,stats",
Phase 5: Research/Advanced ML + Formal Methods,neurodna,crate,0.0.2,L5: Research/Evolution,Evolutionary neural nets with genetic encoding + SIMD,ml experimentation,Rust API,https://crates.io/crates/neurodna,,https://crates.io/crates/neurodna,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Research module.,rand; rayon; serde; pulp,None listed,rev.io / QuDAG direction,"evolution,simd,research",
Phase 4: Specialized Domains (Robotics/Security/Verticals),nt-core,crate,1.0.0,L4: Trading/Core,Core traits/types/utilities for Neural Trader platform,nt-memory; nt-market-data; nt-execution,Rust API,https://crates.io/crates/nt-core,,https://crates.io/crates/nt-core,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Vertical; not OS foundation.,serde; thiserror; chrono; uuid,nt-* family,rev.io / QuDAG direction,"trading,core",
Phase 3: Swarm/Identity/Policy + Distributed Runtime,code-mesh-wasm,crate,0.1.0,L3: Web/WASM Bindings,WebAssembly bindings for Code-Mesh to run in browser/edge,web UI; edge nodes,Rust API,https://crates.io/crates/code-mesh-wasm,,https://crates.io/crates/code-mesh-wasm,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Only needed if you target browser nodes early.,code-mesh-core; wasm-bindgen; js-sys,None listed,rev.io / QuDAG direction,"wasm,browser",
Phase 3: Swarm/Identity/Policy + Distributed Runtime,daa-cli,crate,0.2.0,L3: Orchestration/CLI,CLI for managing DAA system instances,ops/runbooks,Rust API,https://crates.io/crates/daa-cli,,https://crates.io/crates/daa-cli,,,Rust,crate,,,2025.0,,candidate,ok,,,P2,,option_3,,,Operator convenience; keep optional.,clap; tokio; daa-orchestrator; daa-core,,rev.io / QuDAG direction,"cli,daa",
Phase 4: Specialized Domains (Robotics/Security/Verticals),daa-prime-server,crate,0.1.0,L4: ML/Serving,Distributed server infrastructure for DAA Prime agent clusters,gateway; policy; telemetry,Rust API,https://crates.io/crates/daa-prime-server,,https://crates.io/crates/daa-prime-server,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Later: depends on adopting Prime stack.,axum; daa-prime-core; daa-prime-inference; tokio,,rev.io / QuDAG direction,"server,ml,axum",
Phase 3: Swarm/Identity/Policy + Distributed Runtime,aimds-detection,crate,0.1.0,L3: Security/Fast Detection,Low-latency detection layer for AIMDS,aimds-core; ingress gateway; agent-policy enforcement,Rust API,https://crates.io/crates/aimds-detection,,https://crates.io/crates/aimds-detection,,,Rust,crate,,,2025.0,,candidate,,,,P2,,option_2,,,Put at ingress boundary (agentgateway) or agent runtime boundary.,"aimds-core, regex (per crate summary)",aimds-response (per crates.io reverse deps),rev.io / QuDAG direction,"security,detection",
Phase 3: Swarm/Identity/Policy + Distributed Runtime,aimds-analysis,crate,0.1.0,L3: Security/Behavioral Analysis,Behavioral analysis layer for AIMDS,aimds-core; telemetry; policy; model runtime,Rust API,https://crates.io/crates/aimds-analysis,,https://crates.io/crates/aimds-analysis,,,Rust,crate,,,2025.0,,candidate,,,,P3,,option_3,,,Use later if you want deeper behavioral modeling; detection usually comes first for latency.,aimds-core (plus ML deps per crate; see crate metadata),aimds-response (per crates.io reverse deps),rev.io / QuDAG direction,"security,analysis",
Phase 3: Swarm/Identity/Policy + Distributed Runtime,aimds-core,crate,0.1.0,L3: Security/Defense Core,Core types/abstractions for AIMDS (AI manipulation defense),aimds-detection; aimds-analysis; policy enforcement; logging/telemetry,Rust API,https://crates.io/crates/aimds-core,,https://crates.io/crates/aimds-core,,,Rust,crate,,,2025.0,,candidate,,,,P2,,option_2,,,Belongs with identity+policy; hardens the agent interface against prompt manipulation.,See crates.io dependencies page,aimds-analysis; aimds-detection; aimds-response (per crates.io reverse deps),rev.io / QuDAG direction,"security,defense,ai-safety",
Phase 2: Core runtime + MCP/tooling,rmcp,crate,0.12.0,L4: Tool Gateway/MCP,MCP library (rmcp),MCP clients/servers,MCP/Rust APIs,https://crates.io/crates/rmcp,,https://crates.io/crates/rmcp,,,Rust,crate,,,2025.0,Dependencies not expanded yet; will be auto-filled later via cargo metadata.,candidate,conflict,"Epistates/turbomcp, memextech/ht-mcp, modelcontextprotocol/rust-sdk, paiml/rust-mcp-sdk, qudag-mcp, rust-mcp-sdk, ruvswarm-mcp",,P1,Overlapping solutions in same layer; select one primary implementation to avoid duplicated glue and divergent schemas.,candidate,,,"MCP stack selection depends on required features (auth, streaming, transport, schema). Prefer single SDK + gateway mediation.",,,,,
Phase 2: Core runtime + MCP/tooling,rust-mcp-sdk,crate,0.7.4,L4: Tool Gateway/MCP,Rust MCP SDK crate,MCP clients/servers,MCP/Rust APIs,https://crates.io/crates/rust-mcp-sdk,,https://crates.io/crates/rust-mcp-sdk,,,Rust,crate,,,2025.0,Dependencies not expanded yet; will be auto-filled later via cargo metadata.,candidate,conflict,"Epistates/turbomcp, memextech/ht-mcp, modelcontextprotocol/rust-sdk, paiml/rust-mcp-sdk, qudag-mcp, rmcp, ruvswarm-mcp",,P1,Overlapping solutions in same layer; select one primary implementation to avoid duplicated glue and divergent schemas.,candidate,,,"MCP stack selection depends on required features (auth, streaming, transport, schema). Prefer single SDK + gateway mediation.",,,,,
Phase 5: Research/Advanced ML + Formal Methods,exo-node,crate,0.1.0,L5: Research/Node,Distributed node implementation for EXO substrate,libp2p; compute scheduling,Rust API,https://crates.io/crates/exo-node,,https://crates.io/crates/exo-node,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Overlaps with your swarm runtime direction; treat as alternative design reference.,exo-core; exo-backend-classical; exo-federation; tokio,,rev.io / QuDAG direction,"node,distributed,research",
Phase 5: Research/Advanced ML + Formal Methods,kimi-expert-analyzer,crate,0.1.0,L5: Research/Analysis Tool,Analyzer for converting Kimi-K2 architectures into optimized Rust-WASM modules,kimi-fann-core,Rust API,https://crates.io/crates/kimi-expert-analyzer,,https://crates.io/crates/kimi-expert-analyzer,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Not foundation.,kimi-fann-core; serde; syn,,rev.io / QuDAG direction,"analysis,wasm,research",
Phase 5: Research/Advanced ML + Formal Methods,exo-hypergraph,crate,0.1.0,L5: Research/Graphs,Hypergraph substrate for higher-order reasoning,exo-core,Rust API,https://crates.io/crates/exo-hypergraph,,https://crates.io/crates/exo-hypergraph,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Research module.,exo-core; petgraph; itertools,,rev.io / QuDAG direction,"hypergraph,research",
Phase 2: Core runtime + MCP/tooling,agentgateway/agentgateway,repo,,L4: Tool Gateway/MCP (data plane proxy),"Stateful agentic proxy for MCP/A2A: tool federation, authn/z, RBAC, policy filters, observability","MCP clients (agents), backend MCP servers, A2A agents, LLM provider APIs, legacy REST APIs (via OpenAPI transform)","MCP, A2A, HTTP, TCP; xDS dynamic configs; JWT/JWKS; CEL policy expressions; metrics/traces",https://github.com/agentgateway/agentgateway,https://github.com/agentgateway/agentgateway,,,,Rust,repo,,,2025.0,"Covers: RBAC, JWT auth, MCP authz, dynamic configs via xDS, multi-tenant resources, tool federation/multiplexing, protocol upgrades/fallbacks, built-in metrics/traces, UI portal. Does NOT replace: supervisor/lifecycle, kernel capability model, identity enrollment lifecycle, distributed scheduler, boot/update chain.",keep,ok,,,P0,"Directly supplies several previously-missing 'governance plane' functions at the tool/agent edge: RBAC, policy, multitenancy, observability, tool federation.",yes,custom MCP router (rmcp/rust-mcp-sdk),Envoy + bespoke filters,Agentgateway provides policies/RBAC/observability + tool federation with less glue; keep as primary edge control plane.,,,,,
Phase 3: Swarm/Identity/Policy + Distributed Runtime,governance,crate,1.0.0,L3: Governance/Consensus,Voting and proposal management system,identity; policy; audit,Rust API,https://crates.io/crates/governance,,https://crates.io/crates/governance,,,Rust,crate,,,2025.0,,candidate,ok,,,P2,,option_2,,,Candidate governance module for org+user hive mind; must plug into identity/policy plane.,serde; sha2; tokio,,rev.io / QuDAG direction,"governance,voting,consensus",
Phase 2: Core runtime + MCP/tooling,goalie,crate,1.0.3,L2: Agent Planning/CLI,AI assistant using GOAP planning with MCP support,agent runtime; tool calling; provider adapters,Rust API,https://crates.io/crates/goalie,,https://crates.io/crates/goalie,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Evaluate overlap with your goal/intent system before adopting.,anyhow; clap; serde; serde_json; tokio,,rev.io / QuDAG direction,"goap,planning,mcp",
Phase 5: Research/Advanced ML + Formal Methods,geometric-langlands-cli,crate,0.1.0,L5: Research/CLI,CLI for geometric-langlands framework,geometric-langlands,Rust API,https://crates.io/crates/geometric-langlands-cli,,https://crates.io/crates/geometric-langlands-cli,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Not needed unless adopting geometric-langlands.,clap; geometric-langlands; tokio,,rev.io / QuDAG direction,"cli,research",
Phase 5: Research/Advanced ML + Formal Methods,exo-wasm,crate,0.1.0,L5: Research/WASM,WASM bindings for EXO substrate,browser/edge,Rust API,https://crates.io/crates/exo-wasm,,https://crates.io/crates/exo-wasm,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Only if EXO targets browser/edge.,exo-core; wasm-bindgen; tracing-wasm,,rev.io / QuDAG direction,"wasm,research",
Phase 5: Research/Advanced ML + Formal Methods,exo-temporal,crate,0.1.0,L5: Research/Temporal,Temporal causality modeling tools,scheduler,Rust API,https://crates.io/crates/exo-temporal,,https://crates.io/crates/exo-temporal,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Research module.,exo-core; chrono; nanosecond-scheduler,,rev.io / QuDAG direction,"temporal,research",
Phase 5: Research/Advanced ML + Formal Methods,exo-manifold,crate,0.1.0,L5: Research/Geometry,Manifold learning + geometric priors,exo-core,Rust API,https://crates.io/crates/exo-manifold,,https://crates.io/crates/exo-manifold,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Research module.,exo-core; ndarray; nalgebra,,rev.io / QuDAG direction,"geometry,ml,research",
Phase 2: Core runtime + MCP/tooling,fact-wasm-core,crate,1.0.0,L2: Context/WASM Core,WASM-optimized core for FACT engine,browser UI; edge,Rust API,https://crates.io/crates/fact-wasm-core,,https://crates.io/crates/fact-wasm-core,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Only if you need FACT in WASM targets early.,fact-tools; wasm-bindgen; js-sys,,rev.io / QuDAG direction,"context,wasm",
Phase 5: Research/Advanced ML + Formal Methods,exo-exotic,crate,0.1.0,L5: Research/Experiments,Exotic cognitive experiments library,exo-core,Rust API,https://crates.io/crates/exo-exotic,,https://crates.io/crates/exo-exotic,,,Rust,crate,,,2025.0,,candidate,ok,,,P3,,option_3,,,Optional research module.,exo-core; petgraph; serde,,rev.io / QuDAG direction,"research,experiments",
Phase 4: Specialized Domains (Robotics/Security/Verticals),agentic-robotics-rt,crate,0.1.2,L4: Robotics/RT,Robotics runtime,agentic-robotics-core; node/embedded,Rust APIs,https://crates.io/crates/agentic-robotics-rt,,https://crates.io/crates/agentic-robotics-rt,,,Rust,crate,,,2025.0,Dependencies not expanded yet; will be auto-filled later via cargo metadata.,candidate,,,,P3,,option_3,,,Robotics is a later vertical; keep out of foundation until core OS + policy + update chain are stable.,,,rev.io / QuDAG direction,"robotics,ros2,mcp,rt",
,ruvswarm-mcp,crate,1.1.0,L4: Tool Gateway/MCP,MCP server for RUV Swarm,"MCP clients, swarm core",MCP,https://crates.io/crates/ruvswarm-mcp/1.1.0,,https://crates.io/crates/ruvswarm-mcp/1.1.0,,,Rust,crate,,,2025.0,Dependencies not extracted (JS-blocked).,candidate,conflict,"Epistates/turbomcp, memextech/ht-mcp, modelcontextprotocol/rust-sdk, paiml/rust-mcp-sdk, qudag-mcp, rmcp, rust-mcp-sdk",,P1,Overlapping solutions in same layer; select one primary implementation to avoid duplicated glue and divergent schemas.,candidate,,,"MCP stack selection depends on required features (auth, streaming, transport, schema). Prefer single SDK + gateway mediation.",,,,,
Phase 3: Agent kernel/policy/memory/telemetry,cap-std,crate,,L3: Policy/Capabilities,Capability-oriented version of Rust std (sandboxed fs/net/clock),agent-policy; tool runtimes; WASI/capability model,Rust API,https://crates.io/crates/cap-std,,https://crates.io/crates/cap-std,,,Rust,crate,,,2025.0,,keep,ok,,,P0,Concrete capability model to eliminate ambient authority; aligns with agentic safety model.,yes,WASI sandboxing only,POSIX DAC/ACLs only,cap-std selected to eliminate ambient authority in code and support capability passing to child processes.,,,,,
Phase 3: Agent kernel/policy/memory/telemetry,cedar-policy,crate,,L3: Policy Engine,Cedar policy language + evaluator for fine-grained authorization,agent-policy; capability tokens; gateway decisions,Cedar policies,https://crates.io/crates/cedar-policy,,https://crates.io/crates/cedar-policy,,,Rust,crate,,,2025.0,,keep,ok,,,P0,Decouples authorization policy from code; fits agent-level semantics.,yes,OPA/Rego (non-Rust),custom policy in agent-policy crate,"Cedar selected for portable, evaluatable authorization policies that can be checked both gateway-side (claims) and agent-side (semantics).",,,,,
Phase 0: Docs/Runbooks/Policy,kellnr,repo,,L6: Supply Chain/Registry,Self-hosted Rust crate registry for local-first builds,cargo configs; offline/airgap workflows; internal crates,Cargo registry API,https://github.com/kellnr/kellnr,https://github.com/kellnr/kellnr,,,,Rust,repo,,,2025.0,Kellnr is an open-source Rust crate registry you can self-host.,keep,ok,,,P0,,yes,cargo vendor + local mirror only,Artifactory/Nexus,Start early to control deps and support deterministic/offline builds.,,,,,
Phase 4: Swarm/mesh + distributed inference,distributed-scheduler,crate,,L4: Compute/Scheduler,Distributed scheduler using consistent hashing; supports coordinating tasks across nodes,libp2p mesh; persistence; queues,Rust API/service,https://crates.io/crates/distributed-scheduler,,https://crates.io/crates/distributed-scheduler,,,Rust,crate,,,2025.0,,candidate,ok,,,P0,Directly targets the missing distributed resource scheduler function.,candidate,OpenCue Distributed Scheduler (Rust),kube + Kubernetes,Prefer lightweight scheduler aligned with P2P swarm; keep heavier options as fallback.,,,,,
Phase 4: Specialized Domains (Robotics/Security/Verticals),agentic-robotics-core,crate,0.1.2,L4: Robotics/RT,Robotics agent core primitives,agentic-robotics-*; MCP; runtime,Rust APIs,https://crates.io/crates/agentic-robotics-core,,https://crates.io/crates/agentic-robotics-core,,,Rust,crate,,,2025.0,Dependencies not expanded yet; will be auto-filled later via cargo metadata.,candidate,,,,P3,,option_3,,,Robotics is a later vertical; keep out of foundation until core OS + policy + update chain are stable.,,,rev.io / QuDAG direction,"robotics,ros2,mcp,rt",
Phase 3: Swarm/Identity/Policy + Distributed Runtime,agentic-payments,crate,0.1.0,L3: Swarm/Commerce/Attestation,Multi-agent payment/signature verification infrastructure; Ed25519 focus; protocol features (AP2/ACP),identity plane; attestation/provenance; optional service endpoints,Rust API; optional web interface per features,https://crates.io/crates/agentic-payments,,https://crates.io/crates/agentic-payments,,,Rust,crate,,,2025.0,,candidate,,,,P2,,option_2,,,Include only if economic/payment primitives are required early; otherwise keep as later vertical.,See crates.io dependencies page (ed25519/axum/tokio/etc.),,rev.io / QuDAG direction,,"Crypto/protocol surface: pin versions, audit deps, and keep keys out of A/B roots."
Phase 4: Specialized Domains (Robotics/Security/Verticals),agentic-robotics-embedded,crate,0.1.2,L4: Robotics/RT,Embedded robotics integration,agentic-robotics-core; RT,Rust APIs,https://crates.io/crates/agentic-robotics-embedded,,https://crates.io/crates/agentic-robotics-embedded,,,Rust,crate,,,2025.0,Dependencies not expanded yet; will be auto-filled later via cargo metadata.,candidate,,,,P3,,option_3,,,Robotics is a later vertical; keep out of foundation until core OS + policy + update chain are stable.,,,rev.io / QuDAG direction,"robotics,ros2,mcp,rt",
Phase 4: Specialized Domains (Robotics/Security/Verticals),agentic-robotics-mcp,crate,0.1.2,L4: Robotics/RT,MCP server for robotics agents,MCP clients; robotics runtime,MCP,https://crates.io/crates/agentic-robotics-mcp,,https://crates.io/crates/agentic-robotics-mcp,,,Rust,crate,,,2025.0,Dependencies not expanded yet; will be auto-filled later via cargo metadata.,candidate,,,,P3,,option_3,,,Robotics is a later vertical; keep out of foundation until core OS + policy + update chain are stable.,,,rev.io / QuDAG direction,"robotics,ros2,mcp,rt",
Phase 4: Specialized Domains (Robotics/Security/Verticals),agentic-robotics-node,crate,0.1.1,L4: Robotics/RT,Node integration for robotics agents,robotics runtime; mesh fabric,Rust APIs,https://crates.io/crates/agentic-robotics-node,,https://crates.io/crates/agentic-robotics-node,,,Rust,crate,,,2025.0,Dependencies not expanded yet; will be auto-filled later via cargo metadata.,candidate,,,,P3,,option_3,,,Robotics is a later vertical; keep out of foundation until core OS + policy + update chain are stable.,,,rev.io / QuDAG direction,"robotics,ros2,mcp,rt",
Phase 1: Foundation (env/configs/redox),windows_x86_64_gnu,crate,0.53.1,L0: Platform/Windows,Windows import libs (x86_64 gnu),Windows builds,Rust,https://crates.io/crates/windows_x86_64_gnu,,https://crates.io/crates/windows_x86_64_gnu,,,Rust,crate,,,2025.0,Tracked explicitly (even if transitive) to stabilize builds across heterogeneous nodes.,keep,ok,,,P1,,yes,,,Pinned foundational crate for portability/determinism.,,,,,
Phase 1: Foundation (env/configs/redox),futures-channel,crate,0.3.31,L0: Async/Foundation,futures channels,async stack,Rust API,https://crates.io/crates/futures-channel,,https://crates.io/crates/futures-channel,,,Rust,crate,,,2025.0,Tracked explicitly (even if transitive) to stabilize builds across heterogeneous nodes.,keep,ok,,,P1,,yes,,,Pinned foundational crate for portability/determinism.,,,,,
